size,time_ns
500,2650400
500,3522900
500,3284000
500,2799700
500,3021800
500,3205800
500,2752600
500,3240900
500,2700700
500,2878500
1024,6886800
1024,6738000
1024,6891000
1024,6451400
1024,6365700
1024,6612500
1024,6028500
1024,6358100
1024,6466400
1024,6328600
2500,23542800
2500,19223700
2500,19632700
2500,18246300
2500,18123600
2500,17779600
2500,17402400
2500,18887500
2500,17093700
2500,17587900
5000,40628900
5000,38515000
5000,40375400
5000,38225000
5000,38905600
5000,38793600
5000,37758100
5000,38497200
5000,41698800
5000,41129700
8192,69948500
8192,75327600
8192,69169500
8192,78727300
8192,99616500
8192,71797700
8192,74285600
8192,90642200
8192,94459100
8192,79443700
32678,316947300
32678,336029900
32678,329213800
32678,327924200
32678,355457300
32678,322314300
32678,324921500
32678,335011300
32678,318907900
32678,319789300
131072,1613207900
131072,1665859800
131072,1624379500
131072,1698164100
131072,1648415900
131072,1811497800
131072,1773017200
131072,1600281300
131072,1628262600
131072,1646445200
1048576,19586827000
1048576,20352039700
1048576,20207949500
1048576,19506032700
1048576,20195708200
1048576,19813289500
1048576,19892471100
1048576,20743918400
1048576,20315559000
1048576,20332073400
